   WAVE          FLUX
    cm        erg/s/cm^3
9.120000e-06 2.368492e-18
9.226562e-06 8.536703e-14
9.334368e-06 3.130407e-12
9.443435e-06 6.265321e-12
9.553776e-06 2.082097e-11
9.665406e-06 1.015634e-11
9.778340e-06 6.693335e-11
9.892594e-06 1.918793e-11
1.000818e-05 5.411802e-10
1.012512e-05 7.469969e-10
1.024343e-05 1.399552e-11
1.036312e-05 4.230110e-09
1.048420e-05 5.549374e-08
1.060671e-05 8.531111e-08
1.073064e-05 1.045321e-08
1.085602e-05 2.901188e-07
1.098286e-05 6.899330e-07
1.111119e-05 1.043899e-06
1.124102e-05 3.607424e-06
1.137237e-05 2.240846e-06
1.150524e-05 2.190204e-06
1.163968e-05 4.793578e-07
1.177568e-05 2.374389e-06
1.191327e-05 1.600371e-06
1.205247e-05 8.483238e-06
1.219330e-05 3.814835e-07
1.233577e-05 1.007190e-04
1.247990e-05 1.319873e-04
1.262572e-05 4.490395e-04
1.277325e-05 9.517726e-04
1.292249e-05 2.409928e-03
1.307349e-05 2.984568e-03
1.322624e-05 2.961577e-03
1.338078e-05 1.191547e-03
1.353713e-05 1.233948e-02
1.369530e-05 1.619690e-02
1.385532e-05 1.161643e-02
1.401721e-05 1.063196e-01
1.418100e-05 1.517470e-01
1.434669e-05 3.349344e-01
1.451433e-05 5.098665e-01
1.468392e-05 4.262036e-01
1.485549e-05 9.305808e-01
1.502907e-05 1.791335e+00
1.520467e-05 1.785260e+00
1.538233e-05 5.131379e+00
1.556206e-05 4.427102e+00
1.574390e-05 4.465055e+00
1.592785e-05 7.444910e+00
1.611396e-05 2.019458e+01
1.630224e-05 8.438499e+00
1.649272e-05 2.332041e+01
1.668543e-05 1.989959e+01
1.688039e-05 3.532401e+01
1.707763e-05 2.266981e+02
1.727717e-05 3.921107e+02
1.747904e-05 6.917145e+01
1.768327e-05 8.875374e+02
1.788989e-05 3.798268e+04
1.809893e-05 1.224690e+04
1.831040e-05 4.651174e+03
1.852435e-05 2.290803e+03
1.874079e-05 1.814328e+04
1.895977e-05 3.987377e+03
1.918130e-05 4.418065e+04
1.940542e-05 1.131463e+05
1.963216e-05 6.999442e+04
1.986155e-05 7.243507e+04
2.009362e-05 3.990829e+04
2.032840e-05 4.457671e+04
2.056593e-05 1.876729e+05
2.080623e-05 6.056093e+06
2.104934e-05 3.411631e+05
2.129529e-05 1.130321e+06
2.154411e-05 2.465709e+05
2.179584e-05 6.864553e+04
2.205051e-05 7.274527e+05
2.230816e-05 1.108347e+06
2.256881e-05 7.184240e+04
2.283252e-05 3.523952e+06
2.309930e-05 7.621184e+05
2.336920e-05 6.763226e+06
2.364226e-05 1.679722e+07
2.391850e-05 9.609086e+06
2.419798e-05 2.287173e+07
2.448072e-05 2.893068e+09
2.476676e-05 3.535229e+09
2.505614e-05 1.472042e+09
2.534891e-05 3.255822e+08
2.564509e-05 2.716669e+08
2.594474e-05 8.052230e+06
2.624789e-05 2.031183e+08
2.655458e-05 1.081215e+08
2.686486e-05 2.545641e+09
2.717875e-05 1.053321e+10
2.749632e-05 1.549178e+10
2.781760e-05 2.357101e+10
2.814263e-05 1.768684e+10
2.847146e-05 6.834269e+09
2.880413e-05 2.090618e+11
2.914069e-05 4.555893e+11
2.948118e-05 1.756429e+10
2.982565e-05 1.609000e+10
3.017415e-05 5.226150e+11
3.052671e-05 1.398485e+12
3.088340e-05 2.469516e+11
3.124425e-05 4.782510e+12
3.160932e-05 5.522059e+12
3.197866e-05 1.748275e+09
3.235231e-05 5.237205e+11
3.273033e-05 2.966626e+10
3.311276e-05 3.431247e+11
3.349966e-05 3.678685e+09
3.389109e-05 1.019890e+10
3.428708e-05 6.044315e+12
3.468771e-05 3.226934e+12
3.509301e-05 8.746826e+12
3.550305e-05 6.103137e+12
3.591789e-05 2.584836e+13
3.633756e-05 7.956886e+12
3.676215e-05 3.033993e+13
3.719169e-05 1.587441e+12
3.762625e-05 6.905962e+12
3.806589e-05 5.212278e+12
3.851067e-05 3.994006e+09
3.896064e-05 1.183136e+11
3.941587e-05 5.127969e+12
3.987642e-05 4.620999e+13
4.034236e-05 2.180868e+09
4.081373e-05 1.530766e+12
4.129062e-05 2.599682e+13
4.177307e-05 5.927307e+12
4.226117e-05 3.370521e+13
4.275496e-05 5.364343e+13
4.325453e-05 3.585452e+13
4.375993e-05 1.363066e+13
4.427124e-05 1.005993e+14
4.478852e-05 1.291561e+14
4.531185e-05 1.382255e+14
4.584129e-05 1.701614e+13
4.637692e-05 5.859536e+13
4.691880e-05 4.377704e+13
4.746702e-05 1.731648e+14
4.802164e-05 1.686060e+14
4.858275e-05 1.496033e+14
4.915041e-05 1.330104e+13
4.972470e-05 1.691631e+14
5.030570e-05 1.850413e+14
5.089349e-05 1.782991e+14
5.148815e-05 6.329321e+13
5.208976e-05 1.658394e+14
5.269840e-05 3.539373e+13
5.331415e-05 4.029312e+13
5.393709e-05 1.880164e+14
5.456731e-05 1.082416e+14
5.520490e-05 1.833155e+14
5.584993e-05 1.743505e+14
5.650251e-05 8.313655e+13
5.716270e-05 1.881108e+14
5.783062e-05 1.877935e+14
5.850633e-05 1.648322e+14
5.918994e-05 1.901137e+14
5.988154e-05 1.835069e+14
6.058122e-05 1.714999e+14
6.128908e-05 1.882170e+14
6.200520e-05 1.867992e+14
6.272969e-05 1.030769e+14
6.346265e-05 1.849010e+14
6.420418e-05 1.817872e+14
6.495436e-05 9.867765e+13
6.571331e-05 1.807131e+14
6.648113e-05 1.830505e+14
6.725793e-05 1.783215e+14
6.804379e-05 1.789107e+14
6.883885e-05 1.790971e+14
6.964319e-05 1.714560e+14
7.045692e-05 1.713828e+14
7.128017e-05 1.728478e+14
7.211304e-05 6.953139e+13
7.295563e-05 1.684870e+14
7.380807e-05 1.704410e+14
7.467048e-05 1.588502e+14
7.554296e-05 1.564764e+14
7.642563e-05 1.635445e+14
7.731862e-05 1.465129e+14
7.822204e-05 1.592458e+14
7.913602e-05 1.576351e+14
8.006067e-05 1.124894e+14
8.099613e-05 1.402422e+14
8.194252e-05 1.450163e+14
8.289997e-05 1.449840e+14
8.386861e-05 1.146813e+14
8.484856e-05 1.453720e+14
8.583996e-05 1.364397e+14
8.684295e-05 1.237713e+14
8.785766e-05 1.380901e+14
8.888422e-05 1.377931e+14
8.992278e-05 1.188913e+14
9.097347e-05 7.936961e+13
9.203644e-05 1.297758e+14
9.311183e-05 1.300990e+14
9.419979e-05 8.211873e+13
9.530046e-05 1.270517e+14
9.641398e-05 1.243649e+14
9.754052e-05 1.227869e+14
9.868023e-05 1.210217e+14
9.983324e-05 1.075002e+14
1.009997e-04 9.653377e+13
1.021799e-04 1.151528e+14
1.033738e-04 1.129403e+14
1.045816e-04 8.035912e+13
1.058036e-04 8.070632e+13
1.070398e-04 9.747001e+13
1.082905e-04 1.012815e+14
1.095559e-04 1.008249e+14
1.108359e-04 9.951797e+13
1.121310e-04 9.923294e+13
1.134412e-04 8.850538e+13
1.147667e-04 9.323182e+13
1.161076e-04 1.183857e+13
1.174643e-04 9.177283e+13
1.188368e-04 9.066037e+13
1.202253e-04 8.773260e+13
1.216301e-04 8.759900e+13
1.230513e-04 8.591121e+13
1.244890e-04 8.322313e+13
1.259436e-04 6.018524e+13
1.274152e-04 8.119979e+13
1.289040e-04 7.975658e+13
1.304101e-04 7.541521e+13
1.319339e-04 7.654199e+13
1.334755e-04 6.654982e+13
1.350350e-04 3.404480e+13
1.366128e-04 7.034517e+13
1.382091e-04 7.202219e+13
1.398240e-04 6.912481e+13
1.414577e-04 6.760626e+13
1.431106e-04 4.364835e+13
1.447827e-04 6.594074e+13
1.464744e-04 4.188094e+13
1.481859e-04 5.052715e+13
1.499174e-04 6.450963e+13
1.516691e-04 5.998305e+13
1.534412e-04 6.055993e+13
1.552341e-04 5.785490e+13
1.570479e-04 4.808543e+13
1.588829e-04 5.800451e+13
1.607394e-04 3.982842e+13
1.626175e-04 5.525351e+13
1.645176e-04 5.400632e+13
1.664399e-04 5.220554e+13
1.683846e-04 4.961330e+13
1.703521e-04 4.114774e+13
1.723426e-04 3.699603e+13
1.743563e-04 4.326281e+13
1.763935e-04 4.230308e+13
1.784546e-04 3.971692e+13
1.805397e-04 3.767871e+13
1.826492e-04 3.816242e+13
1.847834e-04 3.652782e+13
1.869424e-04 3.501416e+13
