   WAVE        REDDENING
    cm
9.120000e-06 0.000000e+00
9.226562e-06 0.000000e+00
9.334368e-06 0.000000e+00
9.443435e-06 0.000000e+00
9.553776e-06 0.000000e+00
9.665406e-06 0.000000e+00
9.778340e-06 0.000000e+00
9.892594e-06 0.000000e+00
1.000818e-05 1.371961e-02
1.012512e-05 1.540695e-02
1.024343e-05 1.721545e-02
1.036312e-05 1.914385e-02
1.048420e-05 2.118993e-02
1.060671e-05 2.335105e-02
1.073064e-05 2.562278e-02
1.085602e-05 2.800055e-02
1.098286e-05 3.047860e-02
1.111119e-05 3.305085e-02
1.124102e-05 3.571014e-02
1.137237e-05 3.844894e-02
1.150524e-05 4.125878e-02
1.163968e-05 4.413181e-02
1.177568e-05 4.705861e-02
1.191327e-05 5.003030e-02
1.205247e-05 5.303765e-02
1.219330e-05 5.607130e-02
1.233577e-05 5.912164e-02
1.247990e-05 6.217931e-02
1.262572e-05 6.523524e-02
1.277325e-05 6.828027e-02
1.292249e-05 7.130501e-02
1.307349e-05 7.430130e-02
1.322624e-05 7.725999e-02
1.338078e-05 8.017318e-02
1.353713e-05 8.303284e-02
1.369530e-05 8.583099e-02
1.385532e-05 8.856029e-02
1.401721e-05 9.121343e-02
1.418100e-05 9.378346e-02
1.434669e-05 9.626317e-02
1.451433e-05 9.864620e-02
1.468392e-05 1.009255e-01
1.485549e-05 1.030946e-01
1.502907e-05 1.051468e-01
1.520467e-05 1.070751e-01
1.538233e-05 1.088726e-01
1.556206e-05 1.105316e-01
1.574390e-05 1.120444e-01
1.592785e-05 1.134023e-01
1.611396e-05 1.145961e-01
1.630224e-05 1.156157e-01
1.649272e-05 1.164496e-01
1.668543e-05 1.170854e-01
1.688039e-05 1.175087e-01
1.707763e-05 1.177182e-01
1.727717e-05 1.177433e-01
1.747904e-05 1.175645e-01
1.768327e-05 1.171550e-01
1.788989e-05 1.164852e-01
1.809893e-05 1.155233e-01
1.831040e-05 1.142353e-01
1.852435e-05 1.125864e-01
1.874079e-05 1.105434e-01
1.895977e-05 1.080770e-01
1.918130e-05 1.051679e-01
1.940542e-05 1.018121e-01
1.963216e-05 9.803060e-02
1.986155e-05 9.387975e-02
2.009362e-05 8.946205e-02
2.032840e-05 8.493513e-02
2.056593e-05 8.051439e-02
2.080623e-05 7.646627e-02
2.104934e-05 7.308728e-02
2.129529e-05 7.067267e-02
2.154411e-05 6.947866e-02
2.179584e-05 6.968766e-02
2.205051e-05 7.138343e-02
2.230816e-05 7.454014e-02
2.256881e-05 7.902674e-02
2.283252e-05 8.462808e-02
2.309930e-05 9.107579e-02
2.336920e-05 9.808728e-02
2.364226e-05 1.053978e-01
2.391850e-05 1.127827e-01
2.419798e-05 1.200691e-01
2.448072e-05 1.271337e-01
2.476676e-05 1.338983e-01
2.505614e-05 1.403199e-01
2.534891e-05 1.463820e-01
2.564509e-05 1.520858e-01
2.594474e-05 1.574446e-01
2.624789e-05 1.624783e-01
2.655458e-05 1.672104e-01
2.686486e-05 1.716660e-01
2.717875e-05 1.760429e-01
2.749632e-05 1.804195e-01
2.781760e-05 1.846945e-01
2.814263e-05 1.888699e-01
2.847146e-05 1.929487e-01
2.880413e-05 1.969338e-01
2.914069e-05 2.008291e-01
2.948118e-05 2.046386e-01
2.982565e-05 2.083667e-01
3.017415e-05 2.120183e-01
3.052671e-05 2.155981e-01
3.088340e-05 2.191114e-01
3.124425e-05 2.225635e-01
3.160932e-05 2.259597e-01
3.197866e-05 2.293055e-01
3.235231e-05 2.326063e-01
3.273033e-05 2.358677e-01
3.311276e-05 2.390951e-01
3.349966e-05 2.422940e-01
3.389109e-05 2.454699e-01
3.428708e-05 2.486279e-01
3.468771e-05 2.517735e-01
3.509301e-05 2.549116e-01
3.550305e-05 2.580474e-01
3.591789e-05 2.611860e-01
3.633756e-05 2.643319e-01
3.676215e-05 2.674902e-01
3.719169e-05 2.706653e-01
3.762625e-05 2.738617e-01
3.806589e-05 2.770840e-01
3.851067e-05 2.803363e-01
3.896064e-05 2.836227e-01
3.941587e-05 2.869475e-01
3.987642e-05 2.903145e-01
4.034236e-05 2.937276e-01
4.081373e-05 2.971904e-01
4.129062e-05 3.007069e-01
4.177307e-05 3.042864e-01
4.226117e-05 3.079455e-01
4.275496e-05 3.117009e-01
4.325453e-05 3.155691e-01
4.375993e-05 3.195661e-01
4.427124e-05 3.237078e-01
4.478852e-05 3.280099e-01
4.531185e-05 3.324877e-01
4.584129e-05 3.371567e-01
4.637692e-05 3.420321e-01
4.691880e-05 3.471288e-01
4.746702e-05 3.524446e-01
4.802164e-05 3.579554e-01
4.858275e-05 3.636365e-01
4.915041e-05 3.694628e-01
4.972470e-05 3.754096e-01
5.030570e-05 3.814525e-01
5.089349e-05 3.875672e-01
5.148815e-05 3.937293e-01
5.208976e-05 3.999148e-01
5.269840e-05 4.060996e-01
5.331415e-05 4.122600e-01
5.393709e-05 4.183725e-01
5.456731e-05 4.244138e-01
5.520490e-05 4.303647e-01
5.584993e-05 4.362319e-01
5.650251e-05 4.420345e-01
5.716270e-05 4.477910e-01
5.783062e-05 4.535200e-01
5.850633e-05 4.592393e-01
5.918994e-05 4.649670e-01
5.988154e-05 4.707203e-01
6.058122e-05 4.765143e-01
6.128908e-05 4.823504e-01
6.200520e-05 4.882245e-01
6.272969e-05 4.941327e-01
6.346265e-05 5.000710e-01
6.420418e-05 5.060355e-01
6.495436e-05 5.120222e-01
6.571331e-05 5.180274e-01
6.648113e-05 5.240476e-01
6.725793e-05 5.300789e-01
6.804379e-05 5.361178e-01
6.883885e-05 5.421610e-01
6.964319e-05 5.482047e-01
7.045692e-05 5.542458e-01
7.128017e-05 5.602810e-01
7.211304e-05 5.663070e-01
7.295563e-05 5.723207e-01
7.380807e-05 5.783190e-01
7.467048e-05 5.842992e-01
7.554296e-05 5.902581e-01
7.642563e-05 5.961930e-01
7.731862e-05 6.021013e-01
7.822204e-05 6.079801e-01
7.913602e-05 6.138271e-01
8.006067e-05 6.196397e-01
8.099613e-05 6.254156e-01
8.194252e-05 6.311525e-01
8.289997e-05 6.368482e-01
8.386861e-05 6.425005e-01
8.484856e-05 6.481075e-01
8.583996e-05 6.536671e-01
8.684295e-05 6.591776e-01
8.785766e-05 6.646371e-01
8.888422e-05 6.700440e-01
8.992278e-05 6.753967e-01
9.097347e-05 6.806937e-01
9.203644e-05 6.859335e-01
9.311183e-05 6.911149e-01
9.419979e-05 6.962365e-01
9.530046e-05 7.012971e-01
9.641398e-05 7.062957e-01
9.754052e-05 7.112312e-01
9.868023e-05 7.161028e-01
9.983324e-05 7.209094e-01
1.009997e-04 7.256502e-01
1.021799e-04 7.303251e-01
1.033738e-04 7.349326e-01
1.045816e-04 7.394723e-01
1.058036e-04 7.439441e-01
1.070398e-04 7.483471e-01
1.082905e-04 7.526814e-01
1.095559e-04 7.569466e-01
1.108359e-04 7.611417e-01
1.121310e-04 7.652674e-01
1.134412e-04 7.693232e-01
1.147667e-04 7.733090e-01
1.161076e-04 7.772246e-01
1.174643e-04 7.810705e-01
1.188368e-04 7.848464e-01
1.202253e-04 7.885524e-01
1.216301e-04 7.921890e-01
1.230513e-04 7.957562e-01
1.244890e-04 7.992547e-01
1.259436e-04 8.026864e-01
1.274152e-04 8.060521e-01
1.289040e-04 8.093532e-01
1.304101e-04 8.125907e-01
1.319339e-04 8.157663e-01
1.334755e-04 8.188808e-01
1.350350e-04 8.219353e-01
1.366128e-04 8.249312e-01
1.382091e-04 8.278699e-01
1.398240e-04 8.307520e-01
1.414577e-04 8.335788e-01
1.431106e-04 8.363517e-01
1.447827e-04 8.390713e-01
1.464744e-04 8.417390e-01
1.481859e-04 8.443558e-01
1.499174e-04 8.469227e-01
1.516691e-04 8.494406e-01
1.534412e-04 8.519106e-01
1.552341e-04 8.543337e-01
1.570479e-04 8.567109e-01
1.588829e-04 8.590430e-01
1.607394e-04 8.613310e-01
1.626175e-04 8.635758e-01
1.645176e-04 8.657783e-01
1.664399e-04 8.679394e-01
1.683846e-04 8.700599e-01
1.703521e-04 8.721407e-01
1.723426e-04 8.741826e-01
1.743563e-04 8.761863e-01
1.763935e-04 8.781527e-01
1.784546e-04 8.800827e-01
1.805397e-04 8.819768e-01
1.826492e-04 8.838359e-01
1.847834e-04 8.856607e-01
1.869424e-04 8.874518e-01
1.891267e-04 8.892101e-01
1.913366e-04 8.909363e-01
1.935722e-04 8.926308e-01
1.958340e-04 8.942945e-01
1.981222e-04 8.959279e-01
2.004371e-04 8.981099e-01
2.027791e-04 8.997600e-01
2.051485e-04 9.013716e-01
2.075455e-04 9.029455e-01
2.099706e-04 9.044830e-01
2.124239e-04 9.059845e-01
2.149060e-04 9.074513e-01
2.174170e-04 9.088840e-01
2.199574e-04 9.102835e-01
2.225275e-04 9.116506e-01
2.251276e-04 9.129861e-01
2.277581e-04 9.142908e-01
2.304193e-04 9.155653e-01
2.331116e-04 9.168105e-01
2.358353e-04 9.180270e-01
2.385909e-04 9.192156e-01
2.413787e-04 9.203768e-01
2.441991e-04 9.215114e-01
2.470524e-04 9.226200e-01
2.499391e-04 9.237032e-01
2.528595e-04 9.247616e-01
2.558140e-04 9.257957e-01
2.588030e-04 9.268063e-01
2.618270e-04 9.277937e-01
2.648862e-04 9.287586e-01
2.679813e-04 9.297015e-01
2.711125e-04 9.306229e-01
2.742803e-04 9.315234e-01
2.774851e-04 9.324033e-01
2.807273e-04 9.332631e-01
2.840074e-04 9.341034e-01
2.873259e-04 9.349245e-01
2.906831e-04 9.357270e-01
2.940796e-04 9.365112e-01
2.975157e-04 9.372775e-01
3.009920e-04 9.380264e-01
3.045089e-04 9.387582e-01
3.080669e-04 9.394734e-01
3.116665e-04 9.401722e-01
3.153081e-04 9.408551e-01
3.189923e-04 9.415224e-01
3.227195e-04 9.421745e-01
3.264903e-04 9.428116e-01
3.303052e-04 9.434341e-01
3.341646e-04 9.440424e-01
3.380691e-04 9.446366e-01
3.420192e-04 9.452172e-01
3.460155e-04 9.457844e-01
3.500585e-04 9.463385e-01
3.541487e-04 9.468798e-01
3.582867e-04 9.474084e-01
3.624731e-04 9.479248e-01
3.667084e-04 9.484292e-01
3.709931e-04 9.489217e-01
3.753279e-04 9.494026e-01
3.797134e-04 9.498723e-01
3.841501e-04 9.503308e-01
3.886387e-04 9.507784e-01
3.931797e-04 9.512154e-01
3.977738e-04 9.516418e-01
4.024215e-04 9.520580e-01
4.071236e-04 9.524642e-01
4.118806e-04 9.528604e-01
4.166931e-04 9.532470e-01
4.215620e-04 9.536241e-01
4.264876e-04 9.539918e-01
4.314709e-04 9.543503e-01
4.365124e-04 9.546999e-01
4.416128e-04 9.550405e-01
4.467727e-04 9.553725e-01
4.519930e-04 9.556960e-01
4.572743e-04 9.560111e-01
4.626172e-04 9.563179e-01
4.680226e-04 9.566167e-01
4.734912e-04 9.569074e-01
4.790237e-04 9.571903e-01
4.846208e-04 9.574655e-01
4.902833e-04 9.577331e-01
4.960119e-04 9.579932e-01
5.018075e-04 9.582460e-01
5.076708e-04 9.584915e-01
5.136027e-04 9.587299e-01
5.196038e-04 9.589612e-01
5.256750e-04 9.591856e-01
5.318172e-04 9.594031e-01
5.380312e-04 9.596139e-01
5.443178e-04 9.598181e-01
5.506778e-04 9.600156e-01
5.571121e-04 9.602068e-01
5.636216e-04 9.603915e-01
5.702072e-04 9.605698e-01
5.768697e-04 9.607420e-01
5.836101e-04 9.609079e-01
5.904292e-04 9.610678e-01
5.973281e-04 9.612217e-01
6.043075e-04 9.613695e-01
6.113684e-04 9.615115e-01
6.185119e-04 9.616476e-01
6.257388e-04 9.617779e-01
6.330502e-04 9.619025e-01
6.404470e-04 9.620215e-01
6.479303e-04 9.621348e-01
6.555009e-04 9.622425e-01
6.631601e-04 9.623446e-01
6.709087e-04 9.624413e-01
6.787479e-04 9.625325e-01
6.866786e-04 9.626183e-01
6.947020e-04 9.626987e-01
7.028192e-04 9.627738e-01
7.110312e-04 9.628435e-01
7.193392e-04 9.629080e-01
7.277442e-04 9.629672e-01
7.362475e-04 9.630211e-01
7.448501e-04 9.630699e-01
7.535532e-04 9.631134e-01
7.623580e-04 9.631518e-01
7.712657e-04 9.631850e-01
7.802775e-04 0.000000e+00
7.893945e-04 0.000000e+00
7.986181e-04 0.000000e+00
8.079495e-04 0.000000e+00
8.173899e-04 0.000000e+00
8.269406e-04 0.000000e+00
8.366029e-04 0.000000e+00
8.463781e-04 0.000000e+00
8.562675e-04 0.000000e+00
8.662725e-04 0.000000e+00
8.763944e-04 0.000000e+00
8.866345e-04 0.000000e+00
8.969943e-04 0.000000e+00
9.074751e-04 0.000000e+00
9.180784e-04 0.000000e+00
9.288056e-04 0.000000e+00
9.396581e-04 0.000000e+00
9.506375e-04 0.000000e+00
9.617451e-04 0.000000e+00
9.729825e-04 0.000000e+00
9.843512e-04 0.000000e+00
9.958527e-04 0.000000e+00
1.007489e-03 0.000000e+00
1.019261e-03 0.000000e+00
1.031170e-03 0.000000e+00
1.043219e-03 0.000000e+00
1.055408e-03 0.000000e+00
1.067740e-03 0.000000e+00
1.080216e-03 0.000000e+00
1.092837e-03 0.000000e+00
1.105606e-03 0.000000e+00
1.118525e-03 0.000000e+00
1.131594e-03 0.000000e+00
1.144816e-03 0.000000e+00
1.158193e-03 0.000000e+00
1.171725e-03 0.000000e+00
1.185416e-03 0.000000e+00
1.199267e-03 0.000000e+00
1.213280e-03 0.000000e+00
1.227456e-03 0.000000e+00
1.241798e-03 0.000000e+00
1.256308e-03 0.000000e+00
1.270987e-03 0.000000e+00
1.285838e-03 0.000000e+00
1.300862e-03 0.000000e+00
1.316062e-03 0.000000e+00
1.331439e-03 0.000000e+00
1.346996e-03 0.000000e+00
1.362735e-03 0.000000e+00
1.378658e-03 0.000000e+00
1.394767e-03 0.000000e+00
1.411064e-03 0.000000e+00
1.427551e-03 0.000000e+00
1.444231e-03 0.000000e+00
1.461106e-03 0.000000e+00
1.478178e-03 0.000000e+00
1.495450e-03 0.000000e+00
1.512923e-03 0.000000e+00
1.530601e-03 0.000000e+00
1.548485e-03 0.000000e+00
1.566578e-03 0.000000e+00
1.584883e-03 0.000000e+00
1.603401e-03 0.000000e+00
1.622136e-03 0.000000e+00
1.641090e-03 0.000000e+00
1.660265e-03 0.000000e+00
1.679664e-03 0.000000e+00
1.699290e-03 0.000000e+00
1.719145e-03 0.000000e+00
1.739232e-03 0.000000e+00
1.759554e-03 0.000000e+00
1.780113e-03 0.000000e+00
1.800913e-03 0.000000e+00
1.821955e-03 0.000000e+00
1.843244e-03 0.000000e+00
1.864781e-03 0.000000e+00
1.886570e-03 0.000000e+00
1.908613e-03 0.000000e+00
1.930914e-03 0.000000e+00
1.953476e-03 0.000000e+00
1.976301e-03 0.000000e+00
1.999393e-03 0.000000e+00
2.022755e-03 0.000000e+00
2.046389e-03 0.000000e+00
2.070300e-03 0.000000e+00
2.094490e-03 0.000000e+00
2.118963e-03 0.000000e+00
2.143722e-03 0.000000e+00
2.168770e-03 0.000000e+00
2.194111e-03 0.000000e+00
2.219748e-03 0.000000e+00
2.245684e-03 0.000000e+00
2.271923e-03 0.000000e+00
2.298469e-03 0.000000e+00
2.325326e-03 0.000000e+00
2.352496e-03 0.000000e+00
2.379983e-03 0.000000e+00
2.407792e-03 0.000000e+00
2.435925e-03 0.000000e+00
2.464388e-03 0.000000e+00
2.493183e-03 0.000000e+00
2.522314e-03 0.000000e+00
2.551786e-03 0.000000e+00
